,unique_date,id,created_at,text,fav,RT,date
2017-04-27,2017-04-27,8.575687679115264e+17,2017-04-27 12:15:01,ICYMI: #Bitmain Can Remotely Shut Down Your #Antminer (and Everyone Else's) https://t.co/UnpmTC3Nt2 #bitcoin #mining #security #antbleed,10.0,7.0,2017-04-27
2017-04-28,2017-04-28,8.579587633782088e+17,2017-04-28 14:04:43,Ether Price Analysis: Rising Bitcoin Tide Lifts ETH to New Target Highs https://t.co/GCWyfrIo8a #ethereum #ether #bitcoin #trading,12.0,11.0,2017-04-28
2017-04-29,2017-04-29,8.583197904270377e+17,2017-04-29 13:59:19,Kick back and catch up on this week's #bitcoin &amp; #blockchain news - Happy Saturday! https://t.co/1BM543nZ9M,14.0,14.0,2017-04-29
2017-04-30,2017-04-30,,,,,,
2017-05-01,2017-05-01,8.591547185511014e+17,2017-05-01 21:17:01,Monday's Bitcoin Price Analysis: Keeping Grounded as Price Skyrocketshttps://t.co/Y1ecqBLqX3 #bitcoin #bitcoinprice #trading,21.0,20.0,2017-05-01
2017-05-02,2017-05-02,8.592047474081505e+17,2017-05-02 00:35:49,Keep an Eye on Hangzhou: A Growing Hub for #Blockchain Development https://t.co/V7lWssjb5c #china #bitcoin #fintech,20.0,14.0,2017-05-02
2017-05-03,2017-05-03,8.598586745835643e+17,2017-05-03 19:54:18,Last week's #Bitcoin Price Analysis: Is a $1700 Target in Sight? (Looking good...)https://t.co/RLS53WPSzp,16.0,13.0,2017-05-03
2017-05-04,2017-05-04,8.602401186863964e+17,2017-05-04 21:10:01,The Lost Records of Shantou: A Case for #Blockchain Tokenization https://t.co/IOxQ2Rnj7z #token #property #china,16.0,14.0,2017-05-04
2017-05-05,2017-05-05,8.605855370312417e+17,2017-05-05 20:02:35,Innogy Charges Up New Electric Car Fleet Using #Ethereum https://t.co/w7NpzUVhQv @innogy #blockchain #fintech #ElectricCar,21.0,19.0,2017-05-05
2017-05-06,2017-05-06,8.608471183528714e+17,2017-05-06 13:22:01,ICYMI: Innogy Charges Up New Electric Car Fleet Using #Ethereum https://t.co/w7NpzUVhQv @innogy #blockchain #fintech #ElectricCar,34.0,30.0,2017-05-06
2017-05-07,2017-05-07,,,,,,
2017-05-08,2017-05-08,8.616539399006085e+17,2017-05-08 18:48:02,This #Blockchain Startup is Taking Aim at “Fake News” https://t.co/R4G1HT20Ds #fakenews #startups @userfeeds,15.0,7.0,2017-05-08
2017-05-09,2017-05-09,8.619555418238935e+17,2017-05-09 14:46:30,Bitcoin Price Analysis: $1700 and Rising (But So Are Fees) https://t.co/J8NjM5mUzb #bitcoin #bitcoinprice #trading,8.0,8.0,2017-05-09
2017-05-10,2017-05-10,8.624341785535734e+17,2017-05-10 22:28:26,Litecoin Has Now Deployed Segregated Witness https://t.co/RbyKN8bp9E #litecoin #SEGWIT #blockchain #Bitcoin @SatoshiLite,254.0,166.0,2017-05-10
2017-05-11,2017-05-11,8.626507531686257e+17,2017-05-11 12:49:01,ICYMI: Litecoin Has Now Deployed Segregated Witness https://t.co/RbyKN8bp9E #litecoin #SEGWIT #blockchain #Bitcoin @SatoshiLite,46.0,26.0,2017-05-11
2017-05-12,2017-05-12,8.630224123000054e+17,2017-05-12 13:25:51,Ether Price Analysis: Bullish Outlook Continues As Resistance Levels Hold https://t.co/ZLFCi9OupI #ether #Ethereum #blockchain #FinTech,18.0,16.0,2017-05-12
2017-05-13,2017-05-13,8.633976788849787e+17,2017-05-13 14:17:02,This Week on @TheLTBNetwork -More Mainstream UseCases Needed to Secure #Bitcoin's Legitimacy https://t.co/SxjYurNR1d #Ransomware #Security,13.0,10.0,2017-05-13
