,date,average block size,difficulty,estimated transaction volumes in usd,estimated transaction volumes,hash rate,market capitalization,miners revenues,number of orphaned blocks,number of transactions per blocks,number of unique addresses,total bitcoins,trade volumes,transaction fees,price
269,2017-10-03 00:00:00,0.8758622349726777,1123863285132.0,691406024.4821082,161042.77865506,10223761.08832781,71279730159.165,10134350.2293,10134350.2293,1541.704918032787,591541.0,16602525.0,16602525.0,152.53441884,4293.3066
270,2017-10-04 00:00:00,0.8374743656716418,1123863285132.0,591746166.8150624,140052.46334532,7486251.288720908,70155650735.0,7436308.0,7436308.0,1737.5074626865674,496067.0,16604200.0,16604200.0,136.73283395,4225.175
271,2017-10-05 00:00:00,1.018034224,1123863285132.0,814413222.0180073,187702.46646302,6983443.366344132,72049945834.65,7204663.745999998,7204663.745999998,2185.944,552622.0,16605762.5,16605762.5,160.34424031,4338.852
272,2017-10-06 00:00:00,0.92043579245283,1123863285132.0,714231923.3015436,164357.36732411,8882939.961989732,72170693759.16667,8954115.668333333,8954115.668333333,1784.2704402515726,609682.0,16607750.0,16607750.0,149.02120217,4345.6033333333335
273,2017-10-07 00:00:00,0.8365080696202531,1123863285132.0,553329639.8231318,126440.90615085,8827072.415058982,72687340130.625,8787392.866666667,8787392.866666667,1463.4556962025315,505784.0,16609725.0,16609725.0,108.21556432,4376.191666666667
274,2017-10-08 00:00:00,0.7644199010989011,1123863285132.0,676195487.4803518,146926.16652954,10167893.541397054,76453090033.93332,10645075.68315,10645075.68315,1309.8076923076926,496285.0,16612000.0,16612000.0,111.79647505,4602.280883333334
275,2017-10-09 00:00:00,0.9215362173913044,1123863285132.0,1118783648.00353,234154.70571002,8994675.05585124,79381217030.69771,9983563.752925,9983563.752925,1844.3850931677014,585027.0,16614012.5,16614012.5,149.34098656,4777.967816666666
276,2017-10-10 00:00:00,0.9642725875,1123863285132.0,1174146928.6111064,245520.32265177,8938807.508920489,79462424258.5,10009312.04,10009312.04,1894.38125,613363.0,16616012.5,16616012.5,167.25820990000003,4782.28
277,2017-10-11 00:00:00,1.016095071942446,1123863285132.0,837665469.6247169,173808.05965199,7765589.023374672,80089009599.025,8773873.838216666,8773873.838216666,2104.021582733813,604454.0,16617750.0,16617750.0,148.17289183,4819.485766666667
278,2017-10-12 00:00:00,0.9775429869281046,1123863285132.0,1107300179.9945877,207938.59265468,8547734.680405214,88501874725.39436,10754101.414991666,10754101.414991666,1916.1045751633987,588009.0,16619662.5,16619662.5,174.41451469999998,5325.130683333333
